-- 커피
BEVERAGE | 논커피 | ICE 흑당밀크 | 3500 | 아이스,흑당밀크
BEVERAGE | 논커피 | HOT 흑당밀크 | 3500 | 핫,흑당밀크
BEVERAGE | 논커피 | ICE 밀크티 | 3800 | 밀크티,아이스
BEVERAGE | 논커피 | HOT 밀크티 | 3800 | 핫,밀크티
BEVERAGE | 논커피 | 딸기라떼 | 3800 | 라떼,아이스
BEVERAGE | 논커피 | 망고라떼 | 3800 | 라떼,아이스
BEVERAGE | 논커피 | 블루베리라떼 | 3800 | 라떼,아이스
BEVERAGE | 논커피 | 생초콜릿라떼 | 4500 |
BEVERAGE | 논커피 | 딸기생초콜릿라떼 | 4500 | 생초콜릿라떼

-- 밀크쉐이크
BEVERAGE | 밀크쉐이크 | 플레인밀크쉐이크 | 4200 |
BEVERAGE | 밀크쉐이크 | 캔디소다밀크쉐이크 | 4200 |
BEVERAGE | 밀크쉐이크 | 팥절미밀크쉐이크 | 4500 |
BEVERAGE | 밀크쉐이크 | 쿠키밀크쉐이크 | 4500 |
BEVERAGE | 밀크쉐이크 | 커피밀크쉐이크 | 4500 |
BEVERAGE | 밀크쉐이크 | 딸기모찌밀크쉐이크 | 5300 | 모찌밀크쉐이크
BEVERAGE | 밀크쉐이크 | 인절미 컵빙 | 4500 | 컵빙,팥

-- 스무디
BEVERAGE | 프라페 | 플레인요거트스무디 | 4000 | 요거트스무디
BEVERAGE | 스무디 | 딸기스무디 | 3800 |
BEVERAGE | 스무디 | 망고스무디 | 3800 |
BEVERAGE | 스무디 | 블루베리스무디 | 3800 |
BEVERAGE | 스무디 | 유자스무디 | 3800 |
BEVERAGE | 스무디 | 딸기요거트스무디 | 4000 | 요거트스무디
BEVERAGE | 스무디 | 망고요거트스무디 | 4000 | 요거트스무디
BEVERAGE | 스무디 | 블루베리요거트스무디 | 4000 | 요거트스무디
BEVERAGE | 스무디 | 초코베리요거트스무디 | 5300 | 요거트스무디,초코배리요거트스무디

-- 프라페
BEVERAGE | 프라페 | 리얼초코자바칩프라페 | 4000 | 자바칩프라페,초코자바칩프라페
BEVERAGE | 프라페 | 쿠키초코프라페 | 4000 |
BEVERAGE | 프라페 | 민트초코오레오프라페 | 4000 |
BEVERAGE | 프라페 | 그린티프라페 | 4000 |
BEVERAGE | 프라페 | 모카자바칩프라페 | 4500 |

-- 에이드
BEVERAGE | 에이드 | 자몽에이드 | 3500 |
BEVERAGE | 에이드 | 레몬에이드 | 3500 |
BEVERAGE | 에이드 | 망고에이드 | 3500 |
BEVERAGE | 에이드 | 유자에이드 | 3500 |
BEVERAGE | 에이드 | 블루레몬에이드 | 3500 |
BEVERAGE | 에이드 | 청포도에이드 | 3500 |
BEVERAGE | 에이드 | 패션후르츠에이드 | 3500 |

-- 주스
BEVERAGE | 주스 | 키위주스 | 3800 |
BEVERAGE | 주스 | 복숭아주스 | 3800 |
BEVERAGE | 주스 | 오렌지당근주스 | 3800 |
BEVERAGE | 주스 | 샤인머스켓케일주스 | 3800 |
BEVERAGE | 주스 | 딸기주스 | 4300 |

-- 티
BEVERAGE | 티 | ICE 페퍼민트 | 2500 | 아이스,페퍼민트
BEVERAGE | 티 | HOT 페퍼민트 | 2500 | 핫,페퍼민트
BEVERAGE | 티 | ICE 캐모마일 | 2500 | 아이스,캐모마일
BEVERAGE | 티 | HOT 캐모마일 | 2500 | 핫,캐모마일
BEVERAGE | 티 | ICE 블랙퍼스트 | 2500 | 아이스,블랙퍼스트
BEVERAGE | 티 | HOT 블랙퍼스트 | 2500 | 핫,블랙퍼스트
BEVERAGE | 티 | ICE 얼그레이 | 2500 | 아이스,얼그레이
BEVERAGE | 티 | HOT 얼그레이 | 2500 | 핫,얼그레이
BEVERAGE | 티 | ICE 히비스커스 | 2500 | 아이스,히비스커스
BEVERAGE | 티 | HOT 히비스커스 | 2500 | 핫,히비스커스
BEVERAGE | 티 | ICE 자몽티 | 3500 | 아이스,자몽티
BEVERAGE | 티 | HOT 자몽티 | 3500 | 핫,자몽티
BEVERAGE | 티 | ICE 레몬티 | 3500 | 레몬티,아이스
BEVERAGE | 티 | HOT 레몬티 | 3500 | 핫,레몬티
