-- 시즌메뉴
DESSERT | 디저트 | 빽그램핫도그 | 5000 |
DESSERT | 디저트 | 소세지빵 | 4200 |
DESSERT | 디저트 | 햄치즈샌드위치 | 4000 |
DESSERT | 디저트 | 달콤 밤 페스츄리 | 4500 |
DESSERT | 디저트 | 터키시 딜라이트 초코 | 3700 |
DESSERT | 디저트 | 32겹 후레쉬번 | 4000 |
DESSERT | 디저트 | 땅콩마요샌드 | 3200 |
DESSERT | 디저트 | 고메버터소금빵 | 3500 |
DESSERT | 디저트 | 쫀득 감자빵 | 3700 |
DESSERT | 디저트 | 쫀득 고구마빵 | 3700 |
DESSERT | 디저트 | 아이스 초코크림빵 | 3500 |
DESSERT | 디저트 | 크리미슈 | 3000 |
DESSERT | 디저트 | 크리미단팥빵 | 3000 |
DESSERT | 디저트 | 맛카롱(순우유) | 3200 |
DESSERT | 디저트 | 맛카롱(딸기크런치) | 3200 |
DESSERT | 디저트 | 맛카롱(초코크런치) | 3200 |
DESSERT | 디저트 | 청키 초코칩 쿠키 | 2700 |
DESSERT | 디저트 | 크랜베리 쿠키 | 2700 |
